дхритараштрах увача  Z царь Дхритараштра сказал
майи  Z на Мне
 эва  Z непременно
 манах  Z ум
 адхатсва  Z сосредоточь
 майи  Z в Меня
 буддхим  Z разум
 нивешайа  Z введя
 нивасишйаси  Z будешь жить
 майи  Z во Мне
 эва  Z безусловно
 атах урдхвам  Z с этих пор
 на  Z нет
 самшайах  Z сомнения
атха  Z если
 читтам  Z ум
 самадхатум  Z сосредоточить
 на шакноши  Z не можешь
 майи  Z на Мне
 стхирам  Z постоянно
 абхйаса-йогена  Z преданным служением
 татах  Z тогда
 мам  Z Меня
 иччха  Z желание
 аптум  Z достичь
 дханам-джайа  Z о Aрджуна, завоеватель богатств
абхйасе  Z в занятиях
 апи  Z если
 асамартхах  Z не способный
 аси  Z являешься
 мат-карма  Z деятельности ради Меня
 парамах  Z посвященным
 бхава  Z стань
 мат-артхам  Z ради Меня
 апи  Z даже
 кармани  Z действие
 курван  Z исполняющий
 сиддхим  Z совершенство
 авапсйаси  Z достигнешь
атха  Z если
 этат  Z это
 апи  Z даже
 ашактах  Z неспособный
 аси  Z являешься
 картум  Z выполнять
 мат  Z Мне
 йогам  Z к преданному служению
 ашритах  Z прибегнувший
 сарва-карма  Z всей деятельности
 пхала  Z от результатов
 тйагам  Z отречение
 татах  Z тогда
 куру  Z делай
 йата-Атма-ван  Z сосредоточившийся на душе
шрейах  Z лучше
 хи  Z безусловно
 джнанам  Z знание
 абхйасат  Z чем практика
 джнанат  Z чем знание
 дхйанам  Z медитация
 вишишйате  Z считается лучше
 дхйанат  Z чем медитация
 карма-пхала-тйагах  Z отречение от результатов кармической деятельности
 тйагат  Z благодаря отречению
 шантих  Z покой
 анантарам  Z затем
адвешта  Z не питающий зависти и вражды
 сарва-бхутанам  Z всех живых существ
 маитрах  Z дружелюбный
 карунах  Z доброжелательный
 эва  Z безусловно
 ча  Z также
 нирмамах  Z лишенный собственнических чувств
 нираханкарах  Z лишенный ложного эго
 сама  Z одинаковый
 духкха  Z и в горе
 сукхах  Z тот, кто в счастье
 кшами  Z прощающий
 сантуштах  Z удовлетворенный
 сататам  Z всегда
 йоги  Z занимающийся преданным служением
 йата-атма  Z владеющий собой
 дридха-нишчайах  Z обладающий твердой решимостью
 майи  Z на Мне
 арпита  Z сосредоточен
 манах  Z и ум
 буддхих  Z тот, чей разум
 йах  Z который
 мат-бхактах  Z Мой преданный
 сах  Z тот
 ме  Z Мной
 прийах  Z дорогой
йасмат  Z от которого
 на удвиджате  Z не приходят в беспокойство
 локах  Z люди
 локат  Z от людей
 на удвиджате  Z не испытывает беспокойства
 ча  Z также
 йах  Z который
 харша  Z счастьем
 амарша  Z горем
 бхайа  Z страхом
 удвегаих  Z и тревогами
 муктах  Z освобожденный
 йах  Z который
 сах  Z тот
 ча  Z также
 ме  Z Мой
 прийах  Z дорогой
анапекшах  Z отстраненный
 шучих  Z чистый
 дакшах  Z опытный
 удасинах  Z беззаботный
 гата-вйатхах  Z тот, чьи тревоги ушли
 сарва-арамбха  Z от всех попыток
 паритйаги  Z отрекшийся
 йах  Z который
 мат-бхактах  Z Мой преданный
 сах  Z тот
 ме  Z Мой
 прийах  Z дорогой
йах  Z который
 на хришйати  Z не ликует
